news_title,news_details,news_date,source_name,event,Political Bias,Social Bias
"अमरावती (Amravati) में मेडिकल स्टोर के मालिक उमेश कोल्हे की हत्या (Umesh Kolhe murder) सिर्फ इसलिए कर दी गई थी, क्योंकि उन्होंने नुपुर शर्मा(Nupur Sharma) के समर्थन में सोशल मीडिया पर पोस्ट लिखा था. जांच एजेंसी एनआईए इस मामले में अभी तक आठ के करीब आरोपियों को गिरफ्तार कर चुकी है.",-,"मंगलवार सितम्बर 13, 2022 09:37 AM IST",NDTV News,Nupur Sharma Controversy,Neutral,Pro Hindu
"विरोधियों पर जमकर बरसे मनसे प्रमुख राज ठाकरे, नूपूर शर्मा के समर्थन में बोली बड़ी बात",राज्य की मौजूदा हालात पर राज ठाकरे बोले कि अभी जो राज्य में हुआ वो राजनीति नही है. मुझसे पूछा गया था आपने भी बगावत की थी? मैंने कोई बगावत नहीं की. मैं बालासाहेब को मिलकर उन्हें बता कर बाहर निकला था. जब मैं बाला साहेब से मिला तब उन्होंने दोनो हाथ फैलाकर मुझे गले लगाया और कहा कि जा. इसलिए मैने कोई दगा नहीं की. आप सबके भरोसे पर पार्टी खड़ी की.,"मंगलवार अगस्त 23, 2022 02:54 PM IST",NDTV News,Nupur Sharma Controversy,Neutral,Neutral
"नूपुर शर्मा की हत्या की फिराक में था जैश का संदिग्ध आतंकी, यूपी के सहारनपुर से हुआ गिरफ्तार",पाकिस्तान और अफगानिस्तान के जैश ए मोहम्मद और तहरीक ए पाकिस्तान के आतंकियों से नदीम चैट और वॉइस मैसेज के जरिए बातचीत कर रहा था.,"शुक्रवार अगस्त 12, 2022 08:29 PM IST",NDTV News,Nupur Sharma Controversy,Neutral,Anti Muslim
BJP की पूर्व प्रवक्ता नूपुर शर्मा के खिलाफ सभी FIR दिल्ली ट्रांसफर होंगी : सुप्रीम कोर्ट,सुप्रीम कोर्ट ने बुधवार को हुई सुनवाई के ये फैसला सुनाया. सुप्रीम कोर्ट ने सुनवाई के बाद कहा कि इन तमाम FIR को लेकर जांच अब दिल्ली पुलिस करेगी.,"बुधवार अगस्त 10, 2022 04:39 PM IST",NDTV News,Nupur Sharma Controversy,Neutral,Neutral
नूपुर शर्मा के समर्थन में पोस्ट करने पर अहमदनगर में युवक पर जानलेवा हमला,पुलिस की शुरुआती जांच में पता चला है कि चार अगस्त की शाम मुस्लिम समुदाय के 10 से 15 युवकों ने पहले प्रतीक को उसके दोस्त अमित के साथ अक्काबाई चौक पर रोका और बाद में उसपर तलवार और डंडों से हमला किया.,"शनिवार अगस्त 6, 2022 08:57 PM IST",NDTV News,Nupur Sharma Controversy,Neutral,Pro Hindu
"नूपुर शर्मा की हत्या की साज़िश के पीछे पाकिस्तानी संगठन, सीमापार से भेजा आतंकी गिरफ्तार",भाजपा की निलंबित प्रवक्ता नूपुर शर्मा की कथित तौर पर हत्या करने के लिए अंतरराष्ट्रीय सीमा के रास्ते भारत आए एक पाकिस्तानी नागरिक को राजस्थान के श्रीगंगानगर जिले में गिरफ्तार किया गया है.,"गुरुवार जुलाई 21, 2022 09:21 AM IST",NDTV News,Nupur Sharma Controversy,Neutral,Pro Hindu
"MP: नूपुर शर्मा का समर्थन करने पर बजरंग दल के कार्यकर्ता पर हमला, दो गिरफ्तार",आयुष का कहना है कि आरोपियों ने पहले उस से पूछा कि क्या उसका नाम आयुष जादम है. जब उसने हां कहां तो सभी लोग उसपर टूट पड़े.,"बुधवार जुलाई 20, 2022 11:33 PM IST",NDTV News,Nupur Sharma Controversy,Neutral,Pro Hindu
नूपुर शर्मा की हत्या के इरादे से भारतीय सीमा में घुसा पाकिस्तानी युवक गिरफ्तार,"आरोपी रिजवान पाकिस्तान (Pakistani) के मंडी बहाउद्दीन शहर का रहने वाला है. वह भाजपा (BJP) की निलंबित प्रवक्ता नूपुर शर्मा (Nupur Sharma) की हत्या के इरादे से भारत की सीमा में दाखिल हुआ था, जिसे बीएसएफ(BSF) ने गिरफ्तार कर लिया.","मंगलवार जुलाई 19, 2022 09:47 PM IST",NDTV News,Nupur Sharma Controversy,Neutral,Pro Hindu
"""उनकी जिंदगी, आजादी की रक्षा करने की जरूरत है"": नूपुर शर्मा को राहत देते हुए सुप्रीम कोर्ट","नूपुर की ओर से पेश हुए वकील मनिंदर सिंह ने कहा, ""नूपुर की जान को गंभीर खतरा है. अभी खबर मिली है कोई जान से मारने के लिए पाकिस्तान से आया है, जो पकड़ा गया है. पटना में पकड़े गए लोगों के वाट्सएप में नूपुर का पता मिला.""","मंगलवार जुलाई 19, 2022 07:41 PM IST",NDTV News,Nupur Sharma Controversy,Neutral,Pro Hindu
"युवक का आरोप- नूपुर शर्मा का समर्थन करने पर 6 बार चाकू मारा, SP बोले- मामला कुछ और",सीतामढ़ी के एसपी ने नूपुर शर्मा वाले एंगल से इंकार किया है. उनका कहना है कि कुछ युवक पान की दुकान पर सिगरेट पी रहे थे. धुएं को लेकर झगड़ा हुआ. इस मामले की जांच की जा रही है.,"मंगलवार जुलाई 19, 2022 11:02 AM IST",NDTV News,Nupur Sharma Controversy,Neutral,Neutral
"""कठोर आलोचना के बाद खतरे का सामना कर रही हूं"": नूपुर शर्मा ने सुप्रीम कोर्ट से कहा",पैगंबर मोहम्मद (Prophet Muhammad) पर अपने बयानों को लेकर बीजेपी की पूर्व प्रवक्ता नुपुर शर्मा (Nupur Sharma) फिर सुप्रीम कोर्ट (Supreme Court) पहुंची हैं. सर्वोच्च अदालत से अपने खिलाफ दर्ज नौ एफआईआर (FIR) में गिरफ्तारी पर रोक लगाने की मांग की है.,"मंगलवार जुलाई 19, 2022 12:25 AM IST",NDTV News,Nupur Sharma Controversy,Neutral,Neutral
"इंस्टाग्राम पर नुपुर शर्मा की तस्वीर डालने पर कारोबारी को मिली जान से मारने की धमकी, तीन गिरफ्तार","भारतीय जनता पार्टी (BJP) की निलंबित नेता नुपुर शर्मा ( Nupur Sharma)की तस्वीर इंस्टाग्राम पर डालने पर एक व्यवसायी को धमकी देने के आरोप में, गुजरात के सूरत से शुक्रवार को तीन व्यक्तियों को गिरफ्तार किया गया. पुलिस ने यह जानकारी दी.","शुक्रवार जुलाई 15, 2022 10:15 PM IST",NDTV News,Nupur Sharma Controversy,Neutral,Pro Hindu
"नूपुर शर्मा पर सुप्रीम कोर्ट की टिप्पणियों की आलोचना का मामला, अटॉर्नी जनरल ने कहा ये सुप्रीम कोर्ट की अवमानना नहीं   ","अटॉर्नी जनरल केके वेणुगोपाल ने दिल्ली हाईकोर्ट (Delhi High Court) के पूर्व जज जस्टिस एस एन ढींगरा, पूर्व ASG अमन लेखी और वरिष्ठ वकील के राम कुमार के खिलाफ अवमानना कार्यवाही शुरू करने की सहमति देने से इनकार कर दिया.","गुरुवार जुलाई 14, 2022 12:57 PM IST",NDTV News,Nupur Sharma Controversy,Neutral,Neutral
नुपुर शर्मा की जीभ काटने पर 2 करोड़ रुपये इनाम देने की घोषणा करने का आरोपी गिरफ्तार,हरियाणा पुलिस ने बताया कि इनाम घोषित करने का वीडियो सोशल मीडिया पर वायरल होने के बाद पुलिस ने गुरुवार को सालहेड़ी निवासी आरोपी इरशाद प्रधान के खिलाफ मामला दर्ज किया.,"शनिवार जुलाई 9, 2022 07:26 AM IST",NDTV News,Nupur Sharma Controversy,Neutral,Pro Hindu
क्या राणा दंपति का करीबी है उमेश कोल्हे हत्याकांड का मास्टरमाइंड?,अमरावती में उमेश कोल्हे हत्याकांड की जांच NIA की तरफ से की जा रही है. NDTV की पड़ताल में सामने आया है कि अमरावती मर्डर मामले के मास्टरमाइंड ने राणा दंपति के लिए चुनाव प्रचार किया था.,"गुरुवार जुलाई 7, 2022 07:30 PM IST",NDTV News,Nupur Sharma Controversy,,Neutral
जो कुरान पढ़ते हैं...' : हिंदू संगठन के नेता के खिलाफ हेट स्पीच का मामला दर्ज,"एक जुलाई को कुछ हिंदू संगठन के कार्यकर्ता राजस्थान के उदयपुर में दर्जी कन्हैया लाल की हत्या को लेकर विरोध प्रदर्शन कर रहे थे, उस दौरान यह बयान दिया गया.","गुरुवार जुलाई 7, 2022 10:56 AM IST",NDTV News,Nupur Sharma Controversy,Neutral,Pro Muslim
उदयपुर हत्या मामले को लेकर मुंबई की किशोरी को जान से मारने की धमकी,बुधवार को ही अजमेर में एक वकील ने दावा किया है कि उन्हें सोशल मीडिया पर धमकी मिली है कि उनके साथ भी उदयपुर जैसी घटना को ही अंजाम दिया जाएगा. वकील की तरफ से बार एसोसिएशन ने अजमेर एसपी को एक ज्ञापन भी सौंपा है.,"बुधवार जुलाई 6, 2022 11:48 PM IST",NDTV News,Nupur Sharma Controversy,,Neutral
"नूपुर शर्मा को समर्थन : सोशल मीडिया कमेंट पर बिहार में भिड़े युवक, राजस्थान में वकील को मिली धमकी",मामले की जांच कर रही ही पुलिस के अनुसार आरोपी युवक ने नूपुर शर्मा के समर्थन में कुछ दिन पहले ही एक सोशल मीडिया पोस्ट लिखा था.,"बुधवार जुलाई 6, 2022 05:02 PM IST",NDTV News,Nupur Sharma Controversy,Pro BJP,Pro Hindu
उदयपुर हत्याकांड : दो बहादुर किसानों ने कन्हैया लाल के हत्यारों का किया था 35 किमी तक पीछा,Kanhaiya Lal Murder case: राजस्थान के उदयपुर के कन्हैया लाल हत्याकांड (Kanhaiya Lal Murder case) में दो बहादुर ग्रामीणों ने हत्यारों का 35 किलोमीटर से अधिक दूरी तक पीछा किया था और उन्हें तब तक नहीं छोड़ा था जब तक कि पुलिस ने आकर उन्हें पकड़ नहीं लिया. बाइक पर भागने की कोशिश करते रहे हत्या के आरोपी गौस मोहम्मद और रियाज अख्तरी का दो किसान प्रह्लाद सिंह और शक्ति सिंह ने पीछा किया था. सामाजिक संगठनों ने इन बहादुर किसानों को नौकरी देने और इनाम देने की मांग की है.,"बुधवार जुलाई 6, 2022 01:42 PM IST",NDTV News,Nupur Sharma Controversy,Neutral,Neutral
"अजमेर दरगाह का खादिम गिरफ्तार, BJP की पूर्व प्रवक्ता नूपुर शर्मा को लेकर दिया था भड़काऊ बयान",एक वीडियो क्लिप को लेकर सोमवार रात एफआईआर दर्ज होने के बाद राजस्थान पुलिस सलमान चिश्ती की तलाश कर रही थी.,"बुधवार जुलाई 6, 2022 11:46 AM IST",NDTV News,Nupur Sharma Controversy,Neutral,Pro Hindu
नुपुर शर्मा को धमकाने के आरोप में अजमेर दरगाह के मौलवी पर केस दर्ज,BJP की निलंबित प्रवक्ता नूपुर शर्मा को कथित तौर पर धमकाने का वीडियो बनाकर सोशल मीडिया पर सामने आने के बाद अजमेर दरगाह के एक खादिम (मौलवी) के खिलाफ मामला दर्ज किया गया है. पुलिस आरोपी को तलाश रही है. दरगाह पुलिस थाने में सोमवार रात को एक व्यक्ति ने सलमान चिश्ती के खिलाफ शिकायत दर्ज कराई थी.,"मंगलवार जुलाई 5, 2022 06:47 PM IST",NDTV News,Nupur Sharma Controversy,Neutral,Pro Hindu
"नूपुर शर्मा पर SC की टिप्पणी के खिलाफ उतरे पूर्व जज, पूर्व नौकरशाह और रिटायर्ड सैन्य अफसर, 117 लोगों ने लिखी खुली चिट्ठी","आज जारी किए गए खुले पत्र में कहा गया है कि न्यायमूर्ति सूर्यकांत और न्यायमूर्ति जेबी पारदीवाला की पीठ की ""दुर्भाग्यपूर्ण और अभूतपूर्व टिप्पणियां"" न्यायिक लोकाचार के अनुरूप नहीं हैं.","मंगलवार जुलाई 5, 2022 02:57 PM IST",NDTV News,Nupur Sharma Controversy,Neutral,Pro Hindu
अमरावती में केमिस्ट उमेश कोल्हे की हत्या के मामले के सभी सात आरोपी NIA की हिरासत में,राष्ट्रीय जांच एजेंसी (NIA) ने महाराष्ट्र के अमरावती (Amravati) के केमिस्ट उमेश कोल्हे (Umesh Kolhe) की हत्या के सभी सात आरोपियों को हिरासत में ले लिया है. एक पुलिस अधिकारी ने मंगलवार को यह जानकारी दी. उन्होंने कहा कि एनआईए ने सभी आरोपियों को हिरासत में ले लिया है. उन्हें अमरावती की अदालत में पेश करने के बाद सोमवार को चार दिन की ट्रांजिट रिमांड पर लिया गया.,"मंगलवार जुलाई 5, 2022 08:10 AM IST",NDTV News,Nupur Sharma Controversy,Neutral,Pro Hindu
"सहारनपुर में हिंसा के आरोप में पुलिस ने पीट-पीटकर तोड़ दिए थे हाथ, अब आठ युवकों को कोर्ट ने कर दिया बरी","पैगम्बर मोहम्मद के खिलाफ BJP की पूर्व प्रवक्ता नूपुर शर्मा द्वारा की गई टिप्पणी को लेकर 10 जून को उत्तर प्रदेश के सहारनपुर में प्रदर्शन हुआ था. इसके बाद यूपी पुलिस ने 85 लड़कों को गिरफ़्तार किया था. पुलिस ने लड़कों को गिरफ्तार करने के बाद जमकर पीटा था. जिन लड़कों को पुलिस ने पीटा था, उनमें से आठ को सहारनपुर कोर्ट ने बाइज़्ज़त बरी कर दिया है.","सोमवार जुलाई 4, 2022 03:32 PM IST",NDTV News,Nupur Sharma Controversy,Neutral,Neutral
"नुपुर शर्मा के खिलाफ अखिलेश यादव का ट्वीट 'उकसाने वाला', सपा प्रमुख पर कार्रवाई हो : राष्‍ट्रीय महिला आयोग","एनसीडब्ल्यू की अध्यक्ष रेखा शर्मा ने कहा कि ट्वीट ‘‘सरासर उकसाने वाला’’ है. शर्मा ने कहा, ‘‘ राष्ट्रीय महिला आयोग ने पाया कि अखिलेश यादव का ट्वीट नुपुर शर्मा के खिलाफ नफरत एवं द्वेष की भावना को तथा दो धार्मिक समूहों के बीच सांप्रदायिक वैमनस्य को भड़काने वाला है, जो बेहद निंदनीय है.’’","सोमवार जुलाई 4, 2022 04:20 PM IST",NDTV News,Nupur Sharma Controversy,Neutral,Pro Hindu
नुपुर शर्मा की याचिका सुनने वाले सुप्रीम कोर्ट के जज ने 'पर्सनल अटैक' करने वालों को फटकारा,जस्टिस पारदीवाला और जस्टिस सूर्यकांत मिश्रा दोनों को सोशल मीडिया पर कुछ यूजर्स ने उनकी याचिका की सुनवाई के दौरान नुपुर शर्मा के खिलाफ मौखिक टिप्पणियों के बाद निशाना बनाया है.,"रविवार जुलाई 3, 2022 11:50 PM IST",NDTV News,Nupur Sharma Controversy,Neutral,Neutral
"मारे गए केमिस्ट ने नुपुर शर्मा से जुड़ी पोस्ट व्हाट्सएप ग्रुप में पोस्ट की थी, जिसमें मुस्लिम भी थे सदस्य : पुलिस","वरिष्ठ पुलिस अधिकारी विक्रम साली ने भारी दबाव के बीच कहा, ""आरोपियों ने बताया कि उन्होंने नुपुर शर्मा के बारे में पोस्ट करने को लेकर कोल्हे को मार डाला.""","रविवार जुलाई 3, 2022 12:23 AM IST",NDTV News,Nupur Sharma Controversy,Neutral,Neutral
कोलकाता पुलिस ने नूपुर शर्मा के खिलाफ लुकआउट नोटिस जारी किया,कोलकाता पुलिस (Kolkata Police) ने शनिवार को बीजेपी की निलंबित प्रवक्ता नूपुर शर्मा (Nupur Sharma) के लिए लुकआउट नोटिस (Lookout notice) जारी कर दिया. पैगंबर मोहम्मद पर कथित विवादास्पद टिप्पणी के मामले में आरोपी नूपुर शर्मा लगातार चौथी बार पेश नहीं हुईं. नूपुर शर्मा के कमेंट को लेकर पश्चिम बंगाल के कुछ हिस्सों में व्यापक हिंसा हुई थी.,"शनिवार जुलाई 2, 2022 06:48 PM IST",NDTV News,Nupur Sharma Controversy,Neutral,Neutral
"उमेश कोल्हे के भाई ने कहा, समझ नहीं आ रहा; सिर्फ कुछ मैसेज भेजने पर हत्या?","Umesh Kolhe murder Case: महाराष्ट्र (Maharashtra) के अमरावती शहर में 21 जून को गला रेतकर हुई केमिस्ट उमेश कोल्हे (Umesh Kolhe) की हत्या के मामले को लेकर उनके भाई महेश कोल्हे ने कहा है कि उनके भाई ने नूपुर शर्मा (Nupur Sharma) के बारे में व्हाट्सऐप पर कुछ मैसेज भेजे थे, लेकिन यह समझना मुश्किल है कि इनके कारण उनकी हत्या क्यों की गई?   ","शनिवार जुलाई 2, 2022 07:28 PM IST",NDTV News,Nupur Sharma Controversy,Neutral,Neutral
"""नूपुर शर्मा सहयोग कर रही हैं"", कोर्ट की फटकार के बाद दिल्ली पुलिस का बयान - सूत्र",पुलिस उपायुक्त (आईएफएसओ) के पी एस मल्होत्रा ने कहा कि दंड प्रक्रिया संहिता की धारा 41 ए (पुलिस अधिकारी के समक्ष पेश होने का नोटिस) के तहत शर्मा को 18 जून को नोटिस जारी किया गया था और कानून के मुताबिक उनका बयान दर्ज किया गया था.,"शनिवार जुलाई 2, 2022 12:06 AM IST",NDTV News,Nupur Sharma Controversy,Neutral,Neutral
"इस सवाल पर कि आरिफ मोहम्‍मद खान ने कहा है कि जो कट्टरवाद पैदा हो रहा उसके पीछे मुख्‍य रूप से मदरसे है जो गलत शिक्षा दे रहे हैं, जंग ने कहा, ""आरिफ साब विद्वान हैं. मैं उनकी बेहद इज्‍जत करता हूं लेकिन उनकी इस बात से इत्‍तेफाक नहीं रखता. देश के स्‍वाधीनता आंदोलन में मदरसों का अहम योगदान रहा है. """,-,"शुक्रवार जुलाई 1, 2022 10:01 PM IST",NDTV News,Nupur Sharma Controversy,Neutral,Pro Muslim
"नूपुर शर्मा मामलाः सुप्रीम कोर्ट ने टीवी डिबेट एजेंडा, दिल्ली पुलिस पर उठाए सवाल","न्यायमूर्ति सूर्यकांत ने कहा, ""... जब आप दूसरों के खिलाफ प्राथमिकी (FIR) दर्ज करते हैं तो उन्हें तुरंत गिरफ्तार कर लिया जाता है लेकिन जब यह आपके खिलाफ होता है तो किसी ने आपको छूने की हिम्मत नहीं की.""","शुक्रवार जुलाई 1, 2022 02:32 PM IST",NDTV News,Nupur Sharma Controversy,Neutral,Neutral
"""जिद्दी और अहंकारी..."" नूपुर शर्मा की याचिका पर सुनवाई के दौरान SC ने लगाई कड़ी फटकार, पढ़ें कोर्ट की 5 बड़ी टिप्पणी",पैगंबर मोहम्मद (Prophet Row) पर विवादित टिप्पणी कर सुर्खियों में आईं बीजेपी की निलंबित प्रवक्ता नूपुर शर्मा (Nupur Sharma) को शुक्रवार को सुप्रीम कोर्ट ने जमकर फटकार लगाई. देश भर के अलग-अलग कोर्ट और थानों में दर्ज मामलों को दिल्ली शिफ्ट करने की मांग को लेकर दायर याचिका पर सुनवाई करते हुए जस्टिस सूर्यकांत ने पूर्व बीजेपी नेता पर कई तीखी टिप्पणियां कीं और उन्हें देश में हो रही हिंसात्मक घटनाओं का जिम्मेदार बताते हुए माफी मांगने को कहा. कोर्ट ने उनके वकील सीनियर लॉयर मनिंदर सिंह को भी फटकार लगाई.,"शुक्रवार जुलाई 1, 2022 01:17 PM IST",NDTV News,Nupur Sharma Controversy,Neutral,Neutral
"निलंबित BJP नेता नूपुर शर्मा को ""सारे देश से माफी मांगनी चाहिए"" : सुप्रीम कोर्ट","सुप्रीम कोर्ट ने आज कहा कि भाजपा नेता नूपुर शर्मा, जिनकी पैगंबर मुहम्मद पर टिप्पणियों ने खाड़ी देशों में भारी गुस्सा पैदा किया और देश में विरोध प्रदर्शन किया, को ""पूरे देश"" से माफी मांगनी चाहिए. सुप्रीम कोर्ट ने यह भी कहा कि देश में जो हो रहा है उसके लिए वे अकेले ही जिम्मेवार है.","शुक्रवार जुलाई 1, 2022 12:35 PM IST",NDTV News,Nupur Sharma Controversy,Neutral,Neutral
2 लोगों ने मेरी दुकान की रेकी की... मेरी सुरक्षा करें' : हत्या से पहले उदयपुर के टेलर ने पुलिस से की थी शिकायत,"कन्हैया लाल को उसकी दुकान में दो लोगों, गोस मोहम्मद और रियाज़ अख्तरी ने मार डाला. इसके साथ ही इस दौरान उन्होंने इस पूरी वारदात को कैमरे में कैद किया.","बुधवार जून 29, 2022 04:50 PM IST",NDTV News,Nupur Sharma Controversy,Neutral,Neutral
हमे एकजुट होकर नफ़रत को हराना है': उदयपुर मर्डर के बाद राहुल गांधी,राजस्थान के उदयपुर में नूपुर शर्मा के समर्थन में पोस्ट शेयर करने के बाद  एक दर्जी की सरेआम हत्या कर दी गई. कांग्रेस नेता राहुल गांधी (Rahul Gandhi) ने इस घटना की निंदा करते हुए लोगों से शांत रहने की अपील की.,"मंगलवार जून 28, 2022 10:13 PM IST",NDTV News,Nupur Sharma Controversy,Neutral,Neutral
"उदयपुर : पीड़ित परिवार की सुरक्षा की गुहार राजस्थान पुलिस ने नहीं सुनी, नेता विपक्ष कटारिया का आरोप",उदयपुर में इस घटना के बाद राजस्थान में विपक्ष के नेता गुलाबचंद कटारिया (Gulab Chand Kataria) ने कहा कि एक गैंग के तहत इस तरह की घटना को अंजाम दिया जा रहा है.,"मंगलवार जून 28, 2022 09:24 PM IST",NDTV News,Nupur Sharma Controversy,Neutral,Neutral
"Udaipur Murder: सोशल मीडिया पोस्ट को लेकर टेलर कन्हैया लाल की हत्या, 2 गिरफ्तार; कई हिस्सों में कर्फ्यू","जयपुर: राजस्थान के उदयपुर शहर में एक दर्जी की उसकी दुकान पर हत्या कर दी गई. उसके हत्यारों के द्वारा फिल्माई गई हत्या ने बड़े पैमाने पर तनाव पैदा कर दिया है. शहर के कई हिस्सों में कर्फ्यू लग गया है. वहीं, राजस्थान में अगले 24 घंटों तक के लिए इंटरनेट बंद कर दिया गया है. यहां करीबन 600 और पुलिसकर्मियों को बुलाया गया है. मुख्यमंत्री अशोक गहलोत ने शांति की अपील की है. वहीं एनआईए की टीम भी उदयपुर पहुंच रही है. सरकारी सूत्रों ने बताया है कि इस मामले को आंतकी घटना मानकर जांच की जा रही है.","मंगलवार जून 28, 2022 10:22 PM IST",NDTV News,Nupur Sharma Controversy,,Neutral
